game_id,date_time,game_end,team,q1,q2,q3,q4,total,category,total (bins)
1062,12/06/2022 16:00:00,FT,ANU,14,12,14,21,61,AWAY,57.14285714
1063,12/06/2022 14:05:00,FT,Eldonets,8,5,28,11,52,AWAY,50
1064,05/06/2022 16:30:00,FT,NairobiCityThunder,26,13,14,16,69,AWAY,64.28571429
1065,05/06/2022 09:45:00,FT,Jkuat,17,21,28,24,90,AWAY,85.71428571
1066,04/06/2022 16:35:00,FT,Ulinzi,20,11,19,21,71,AWAY,64.28571429
1067,04/06/2022 14:45:00,FT,Umoja,18,18,8,21,65,AWAY,64.28571429
1068,20/02/2022 14:00:00,FT,ZetechUniversity,15,28,19,4,66,AWAY,64.28571429
1069,19/02/2022 14:10:00,FT,ANU,19,13,15,26,73,AWAY,71.42857143
1071,13/02/2022 12:05:00,FT,KenyaMorans,14,23,16,13,66,AWAY,64.28571429
1072,06/02/2022 16:50:00,FT,Ulinzi,15,15,30,19,79,AWAY,78.57142857
1073,06/02/2022 14:40:00,FT,KPA,15,21,14,16,66,AWAY,64.28571429
1074,06/02/2022 08:40:00,FT,ANU,22,23,18,24,87,AWAY,85.71428571
1075,05/02/2022 16:40:00,FT,EquityBank,13,16,17,18,64,AWAY,57.14285714
1076,05/02/2022 14:30:00,FT,Blades,14,12,16,7,49,AWAY,42.85714286
1077,05/02/2022 08:30:00,FT,KenyaMorans,12,13,8,21,54,AWAY,50
1078,30/01/2022 16:05:00,FT,EquityBank,23,21,12,22,78,AWAY,71.42857143
1079,30/01/2022 14:15:00,FT,Ulinzi,21,28,18,19,86,AWAY,85.71428571
1080,29/01/2022 16:15:00,FT,Eldonets,8,19,13,13,53,AWAY,50
1081,29/01/2022 16:10:00,FT,NairobiCityThunder,5,14,16,18,53,AWAY,50
1082,29/01/2022 14:10:00,FT,Terror,13,10,8,4,35,AWAY,28.57142857
1083,29/01/2022 12:25:00,FT,Lakeside,13,6,17,21,57,AWAY,50
1084,29/01/2022 08:40:00,FT,KisiiRaptors,11,20,9,17,57,AWAY,50
1085,23/01/2022 16:05:00,FT,Terror,16,14,15,26,71,AWAY,64.28571429
1086,22/01/2022 16:15:00,FT,Blades,18,16,15,19,68,AWAY,64.28571429
1087,22/01/2022 08:50:00,FT,Mustangs,16,17,15,14,62,AWAY,57.14285714
1089,05/12/2021 11:05:00,FT,BaobabBlazers,12,13,9,25,59,AWAY,57.14285714
1090,04/12/2021 11:00:00,FT,BaobabBlazers,17,14,11,13,55,AWAY,50
1091,04/12/2021 09:10:00,FT,Shootforlife,18,13,14,16,61,AWAY,57.14285714
1092,28/11/2021 16:10:00,FT,KCA-U,8,7,8,12,35,AWAY,28.57142857
1093,28/11/2021 14:10:00,FT,Lakeside,14,18,18,20,70,AWAY,64.28571429
1095,21/11/2021 16:15:00,FT,Blades,13,9,20,12,54,AWAY,50
1096,21/11/2021 14:20:00,FT,Emyba,19,13,6,21,59,AWAY,57.14285714
1097,21/11/2021 11:40:00,FT,CoastalKings,17,16,12,20,65,AWAY,64.28571429
1098,20/11/2021 12:10:00,FT,Umoja,16,20,5,17,58,AWAY,57.14285714
1099,14/11/2021 08:50:00,FT,BaobabBlazers,13,10,21,12,56,AWAY,50
1100,13/11/2021 17:10:00,FT,Pirates,17,16,18,21,72,AWAY,71.42857143
